,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,['Crowdsourced funding site Kickstarter has suffered its first publicised scam.'],['The crowdfunding site Kickstarter has shut down after it failed to secure enough funding.'],0.3333333333333333,0.18181818181818185,0.25,0.25,47.071314403585305
1,['Electric carmaker Tesla says all cars it now builds will have hardware needed to drive completely on their own.'],['Tesla has said it will start testing its self-driving technology in its Model 3 and Model X cars in the coming months.'],0.1904761904761905,0.0,0.14285714285714288,0.14285714285714288,22.220695306313395
2,"['Games of Thrones broadcaster HBO has sent ""take down"" notices to Periscope, the live-streaming video app owned by Twitter, after users of the app broadcast episodes of the hit show on Sunday night.']","['Game of Thrones is being streamed on the popular streaming service Periscope, HBO has said.']",0.326530612244898,0.0851063829787234,0.163265306122449,0.163265306122449,25.257888762127408
3,"[""Copyright licensing needs to be made easier and cheaper to use to support the UK's digital economy, according to a government-commissioned study.""]","['The BBC has called for the creation of a ""Digital Copyright Exchange"" to tackle copyright infringement.']",0.25,0.0,0.15,0.15,21.896042706471132
4,"[""Britain's first ever magazine dedicated to PC gaming is to cease publication after 17 years.""]","['""It was a time when the internet was a golden age,"" said a former editor of PC Zone magazine.']",0.11428571428571428,0.0,0.05714285714285714,0.05714285714285714,22.651321881708185
5,['Troubled Japanese bitcoin exchange Mt Gox has won temporary bankruptcy protection in the US.'],['Bitcoin trading firm Mt Gox has won a temporary reprieve from bankruptcy proceedings in Japan.'],0.5517241379310344,0.22222222222222224,0.5517241379310344,0.5517241379310344,46.12122260711055
6,"[""Monster Hunter World - the blockbuster video game - has been banned by China's censors just days after going on sale.""]","[""Dragon killing Monster Hunter World has been blocked in China after it was approved by the country's gaming regulator.""]",0.5,0.15789473684210525,0.35,0.35,40.62658315201112
7,['A controversial law firm that tried to get money from computer users by accusing them of illegal file sharing could be hit with massive legal fees.'],['A UK copyright law firm has won a legal battle against a former partner who sent letters threatening to sue for damages.'],0.20833333333333331,0.043478260869565216,0.16666666666666669,0.16666666666666669,22.147728520507858
8,"[""Three employees of China's main search engine, Baidu, have been arrested on suspicion of having accepted bribes to delete posts from its forum service.""]",['Chinese internet giant Baidu has fined three people for deleting controversial content on behalf of companies or individuals.'],0.18604651162790697,0.0,0.13953488372093023,0.13953488372093023,22.422995948374766
9,"['The Chinese Foreign Ministry has asked the US for a ""clear explanation"" after claims the CIA had been hacking targets in China for at least 11 years.']",['Chinese cyber-security companies have accused the CIA of infiltrating sensitive business information in China.'],0.23809523809523808,0.1,0.23809523809523808,0.23809523809523808,24.859231935519293
