,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,['Crowdsourced funding site Kickstarter has suffered its first publicised scam.'],"['The site has raised over $3.3m from more than 87,000 backers to develop a new point-and-click adventure.']",0.12903225806451613,0.0,0.12903225806451613,0.12903225806451613,18.425306623200353
1,['Electric carmaker Tesla says all cars it now builds will have hardware needed to drive completely on their own.'],"['Tesla is now disabling its autopilot system on all new cars to allow ""robust"" testing . Tesla founder Elon Musk has said it\'s a ""revolutionary technology"" that will have a big impact on the economy.']",0.3333333333333333,0.03846153846153846,0.25925925925925924,0.25925925925925924,26.49785686688222
2,"['Games of Thrones broadcaster HBO has sent ""take down"" notices to Periscope, the live-streaming video app owned by Twitter, after users of the app broadcast episodes of the hit show on Sunday night.']","['HBO says it is a non-issue for Game of Thrones because it is already posted online at very high quality, it says.']",0.10526315789473685,0.03636363636363636,0.07017543859649121,0.07017543859649121,18.509500452033222
3,"[""Copyright licensing needs to be made easier and cheaper to use to support the UK's digital economy, according to a government-commissioned study.""]","['A new digital copyright exchange would be a ""one-stop shop"" database that could be accessed online . a former broadcast regulator has been appointed to investigate the issue.']",0.23076923076923075,0.0,0.15384615384615383,0.15384615384615383,27.527794373337088
4,"[""Britain's first ever magazine dedicated to PC gaming is to cease publication after 17 years.""]","['The magazine, PC Zone, is a magazine that has been redesigned by a new publisher, Future Publishing.']",0.1818181818181818,0.0,0.1818181818181818,0.1818181818181818,23.016479078891088
5,['Troubled Japanese bitcoin exchange Mt Gox has won temporary bankruptcy protection in the US.'],"[""A US bankruptcy court has agreed to protect Mt Gox's US assets and temporarily halt two US lawsuits while bankruptcy proceedings occur in Japan.""]",0.30769230769230765,0.05405405405405406,0.20512820512820512,0.20512820512820512,40.373368681126024
6,"[""Monster Hunter World - the blockbuster video game - has been banned by China's censors just days after going on sale.""]","['China has banned dozens of video games in the past - typically for featuring excessive violence, drug-taking or sex.']",0.25641025641025644,0.0,0.10256410256410256,0.10256410256410256,28.963915135422454
7,['A controversial law firm that tried to get money from computer users by accusing them of illegal file sharing could be hit with massive legal fees.'],['ACS:Law and MediaCAT sent letters threatening recipients with court action if they did not pay out.'],0.0930232558139535,0.0,0.0930232558139535,0.0930232558139535,15.06259646427929
8,"[""Three employees of China's main search engine, Baidu, have been arrested on suspicion of having accepted bribes to delete posts from its forum service.""]","[""Baidu's web giant has fired three people, along with a fourth person who was not arrested.""]",0.19047619047619052,0.0,0.09523809523809526,0.09523809523809526,18.88176003738385
9,"['The Chinese Foreign Ministry has asked the US for a ""clear explanation"" after claims the CIA had been hacking targets in China for at least 11 years.']","['China has urged the US to give a clear explanation of any hacking activities, and make cyber-space peaceful and safe.']",0.3333333333333333,0.13043478260869565,0.2916666666666667,0.2916666666666667,31.191047219325906
10,"[""When a pilot in a Eurofighter Typhoon jet glances down, he doesn't see a steel-grey floor. Instead he sees clouds, and maybe sheep and cows in green fields below.""]","[""a helmet-mounted display is designed to help the pilot communicate with a plane's target.""]",0.12765957446808507,0.0,0.12765957446808507,0.12765957446808507,13.665117733801802
11,"['Sharon White, the former head of the UK telecoms regulator Ofcom, has been recognised on the New Year Honours list.']","[""Ofcom is the UK's telecoms regulator, overseeing telephone and broadband services, mobile networks, and radio broadcasts.""]",0.27027027027027023,0.11428571428571428,0.2162162162162162,0.2162162162162162,32.09218600676568
12,"['The average broadband speed in the UK rose by 18% last year, regulator Ofcom says.']","['The average home speed is now 64 megabits per second (Mbps), up from 54.2Mbps the year before . Ofcom has released a new report on broadband availability - what is offered to homes rather than what speeds are actually achieved.']",0.25925925925925924,0.038461538461538464,0.2222222222222222,0.2222222222222222,32.22834993596249
13,"['At a trendy east London bar, a group of body hackers are putting forward their reasons for human augmentation to a packed audience of mainly under-35s, many of whom are sporting piercings and tattoos.']","['A bio-hacker has a chip that can be read by a reader, he says. ""It\'s a good idea to have an implant in my hands,"" he adds.']",0.125,0.0,0.09375,0.09375,15.548719406753191
14,"['People from the tiniest African villages to some of its largest cities have converged on Lagos, Nigeria, this week to talk about making stuff.']","['The Maker Faire Africa is a small, small, and innovative event that will be held every year in Lagos.']",0.0930232558139535,0.0,0.0930232558139535,0.0930232558139535,18.613702140859786
15,['Facebook is working on software that could prevent users posting unflattering photos of themselves.'],"[""Facebook's head of artificial intelligence has revealed a plan to build a digital assistant to help identify people who have uploaded a picture without permission.""]",0.1,0.0,0.1,0.1,23.99510345285474
