,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']",['The US government has disclosed that more than 5.6 million biometrics data have been stolen by hackers.'],0.34285714285714286,0.06060606060606061,0.28571428571428575,0.28571428571428575,28.931697962492652
1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']",['A Bognor Regis restaurant has been destroyed by a blaze at its height.'],0.4,0.17391304347826086,0.4,0.4,35.129904605791026
2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['The European Commission has taken infringement action against the UK government over plans to build a wind farm on the Bristol Channel.'],0.28571428571428564,0.1,0.28571428571428564,0.28571428571428564,38.23819274085915
3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['A man has been diagnosed with monkeypox in the UK.'],0.5925925925925927,0.39999999999999997,0.5925925925925927,0.5925925925925927,41.716104738691854
4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['Consumer prices are expected to rise ""significantly"" in the coming months and quarters, according to a new report.']",0.2380952380952381,0.049999999999999996,0.2380952380952381,0.2380952380952381,20.757015446284363
5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],['Drake and Childish Gambino have been nominated for best rap song and best rap duo at the Grammys.'],0.3157894736842105,0.1111111111111111,0.2631578947368421,0.2631578947368421,34.76868648763663
6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['A cyclist has been killed after a two-car crash on the A4109.'],0.3703703703703704,0.16,0.3703703703703704,0.3703703703703704,31.130497292422817
7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['A Welsh politician has called for more information on sepsis survivors who have been discharged from hospital after having it.'],0.4186046511627907,0.0,0.13953488372093023,0.13953488372093023,31.483449568768947
8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']",['A moth has been discovered at a nature reserve in south Wales.'],0.2777777777777778,0.0588235294117647,0.2222222222222222,0.2222222222222222,18.13156768341878
9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A coroner has ruled that the death of a seven-year-old boy was caused by hydrogen cyanide.'],0.21739130434782608,0.04545454545454545,0.17391304347826086,0.17391304347826086,17.025313133316537
10,['A new memorial has been unveiled to remember freeminers who died in mining accidents in the Forest of Dean.'],['A memorial to miners who died in the Forest of Dean mines has been unveiled.'],0.7647058823529413,0.5,0.5882352941176471,0.5882352941176471,58.152649891558816
