,id,target,candidate,rouge1,rouge2,rougeL,rougeLs,chrf
0,0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']",['The US government has said it is investigating a massive data breach that has affected more than 5.6 million people.'],0.2631578947368421,0.0555555555555555,0.2105263157894736,0.2105263157894736,28.998909239031025
1,1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['A fire has destroyed a restaurant in Bognor Regis, West Sussex.']",0.4347826086956521,0.0952380952380952,0.3478260869565217,0.3478260869565217,29.49113756717116
2,2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],['The European Commission has taken up an infringement action against the UK government over plans to build a wind farm in the Bristol Channel.'],0.3181818181818182,0.0952380952380952,0.3181818181818182,0.3181818181818182,37.52065960326117
3,3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],['A man has been diagnosed with monkeypox in the UK after travelling to the UK from Nigeria.'],0.5294117647058824,0.3125,0.4705882352941176,0.4705882352941176,45.88949760701196
4,4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['The UK economy is expected to grow by 2% in 2017, according to a new report.']",0.25,0.0,0.2,0.2,14.727085761983696
5,5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"[""The Grammys have announced the winner of this year's Best Rap Song and Best Rap Album.""]",0.3243243243243243,0.0571428571428571,0.1081081081081081,0.1081081081081081,22.85585419713933
6,6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],['A cyclist has died after being hit by a car on the A4109.'],0.3703703703703704,0.24,0.3703703703703704,0.3703703703703704,35.23293939126842
7,7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']",['A Welsh MP has called for more information about sepsis to be given to people who have been diagnosed with it.'],0.2272727272727272,0.0,0.1363636363636363,0.1363636363636363,21.184189244958755
8,8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['A moth has been found in Wales, the first of its kind to be found in the UK.']",0.2857142857142857,0.15,0.2380952380952381,0.2380952380952381,22.215222512296013
9,9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],['A family of a boy who died after being poisoned by cyanide has urged a coroner to give his verdict.'],0.3333333333333333,0.1739130434782608,0.3333333333333333,0.3333333333333333,21.820044232973675
