,target,candidate,rouge1,rouge2,rogueL,rogueLs,chrf
0,"['Hackers who breached US government networks stole far more fingerprint records than first thought, officials have said.']","['In a statement, the White House said more than 5.6 million fingerprint records were stolen from the Office of Personnel Management (OPM). An initial investigation suggested only 1.1 million were lost. The OPM acts as the personnel office for the US government and keeps records on 21.5 million federal staff.']",0.2,0.058823529411764705,0.08571428571428572,0.08571428571428572,36.946595701247006
1,"['A ""major"" fire on Bognor Regis seafront has been brought under control.']","['Fourteen fire engines were sent to tackle the blaze, which affected a row of buildings on The Esplanade, in the early hours of Sunday. West Sussex fire service said some of the properties were derelict and the buildings were completely destroyed. Emergency teams were at the scene throughout Sunday and inspections by firefighters were due to continue throughout the night.']",0.08333333333333334,0.0,0.05555555555555555,0.05555555555555555,15.899761919599682
2,['The European Commission (EC) has launched an investigation into whether a major windfarm off the Devon coast could endanger wildlife.'],"['The 240-turbine Atlantic Array would be double the size of any windfarm currently operating in Britain. The EC confirmed it is taking up the matter with the UK Government due to the ""failure to propose protection sites for the harbour porpoise"". A Defra spokesperson they were working to identify further sites.']",0.1388888888888889,0.0,0.08333333333333334,0.08333333333333334,24.66532181391761
3,['A patient has been diagnosed with the rare viral infection monkeypox in the south west of England.'],"[""It is believed the patient contracted the infection while visiting Nigeria, Public Health England (PHE) said. According to the World Health Organisation, the condition is similar to human smallpox and although it is much milder, it can be fatal. The patient has been transferred to a specialist infectious disease centre at Guy's and St Thomas' in London.""]",0.24000000000000002,0.0547945205479452,0.10666666666666667,0.10666666666666667,29.729775112019137
4,"['UK inflation will quadruple to about 4% in the second half of next year and cut disposable income, a leading think tank has forecast.']","['By Chris JohnstonBusiness reporter The rise in prices will ""accelerate rapidly"" during 2017 as the fall in sterling is passed on to consumers, according to the National Institute for Economic and Social Research (NIESR). The revised figure is sharply higher than the 3% it forecast in August. The economy also faces ""significant risks"" that could restrict growth.']",0.14814814814814814,0.0,0.1234567901234568,0.1234567901234568,23.45612136325638
5,['Childish Gambino has made Grammy Awards history by winning both song and record of the year for This Is America.'],"['It\'s the first time a rap song has won both categories - although Gambino did not attend or perform at the event. He was the first artist to be absent from collecting one of the ""big four"" Grammys since Amy Winehouse in 2008. Gambino - aka actor Donald Glover - beat competition from Drake, Lady Gaga and Bradley Cooper in both categories.']",0.175,0.02564102564102564,0.1,0.1,25.32383535652584
6,['A cyclist has died in a crash with a van in Neath Port Talbot.'],"['A black Volkswagen Transporter was in collision with a cyclist on the A4109 at Banwen at 21:15 BST on Saturday. South Wales Police said the rider was declared dead at scene and shut the Inter-valley road between Banwen and Glyneath for five hours to investigate. Officers have appealed for witnesses or ""anyone who witnessed the manner of driving of the pedal cycle or vehicle prior to the collision""..']",0.11904761904761904,0.04878048780487805,0.09523809523809522,0.09523809523809522,16.9545599677204
7,"['Support from the Welsh NHS after sepsis was like being on a rollercoaster ""blindfolded"", a Tory politician who survived the illness has said.']","['By Eleanor Gruffydd-JonesBBC Politics Wales AM Angela Burns and the charity UK Sepsis Trust said help for survivors was non-existent. They want patients to be given more information when they are discharged and follow-up help with their recovery. More than 10,000 people get sepsis each year in Wales and about 2,000 of them die, the charity said.']",0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,25.253475747670706
8,"['A millipede so rare it is ""new to science"" and does not even have a common name, has been found in Neath Port Talbot.']","['Youngsters on a Halloween insect hunt found the bug at Craig Gwladus Country Park, near Cilfrew, on 30 October. It has since been identified as the Turdulisoma cf turdulorum millipede, so rare it is only the third known site where it has been found. The first was Aberkenfig, Bridgend, in 2017, by local expert Christian Owen.']",0.25,0.15384615384615385,0.25,0.25,29.315751029323323
9,['The parents of a boy who died in the 2014 floods have publicly thanked those who helped raise money for a lawyer to represent them at his inquest.'],"['The family said they could not have afforded a QC themselves after the Legal Aid Agency decided the case ""was not in the public interest"". Seven-year-old Zane Gbangbola died at his home next to the Thames in Chertsey, Surrey on 8 February 2014. The coroner is to deliver his verdict on 6 or 7 September.']",0.23529411764705885,0.04819277108433735,0.16470588235294117,0.16470588235294117,27.636380210930696
